pid,type,question,score
1,donor,1,3
1,donor,2,3
1,donor,3,3
1,donor,4,4
1,donor,5,3
1,donor,6,3
1,donor,7,3
1,donor,8,4
1,donor,9,3
1,donor,10,4
2,non-donor,1,2
2,non-donor,2,3
2,non-donor,3,2
2,non-donor,4,3
2,non-donor,5,1
2,non-donor,6,2
2,non-donor,7,3
2,non-donor,8,3
2,non-donor,9,3
2,non-donor,10,3
3,donor,1,4
3,donor,2,2
3,donor,3,3
3,donor,4,4
3,donor,5,3
3,donor,6,4
3,donor,7,4
3,donor,8,4
3,donor,9,2
3,donor,10,4
4,non-donor,1,4
4,non-donor,2,4
4,non-donor,3,4
4,non-donor,4,4
4,non-donor,5,4
4,non-donor,6,4
4,non-donor,7,3
4,non-donor,8,4
4,non-donor,9,4
4,non-donor,10,4
5,donor,1,3
5,donor,2,4
5,donor,3,4
5,donor,4,4
5,donor,5,2
5,donor,6,4
5,donor,7,4
5,donor,8,4
5,donor,9,3
5,donor,10,4
6,non-donor,1,3
6,non-donor,2,4
6,non-donor,3,3
6,non-donor,4,4
6,non-donor,5,3
6,non-donor,6,4
6,non-donor,7,4
6,non-donor,8,4
6,non-donor,9,4
6,non-donor,10,4
7,donor,1,2
7,donor,2,3
7,donor,3,4
7,donor,4,3
7,donor,5,3
7,donor,6,3
7,donor,7,4
7,donor,8,1
7,donor,9,3
7,donor,10,4
8,non-donor,1,2
8,non-donor,2,4
8,non-donor,3,4
8,non-donor,4,4
8,non-donor,5,4
8,non-donor,6,4
8,non-donor,7,4
8,non-donor,8,4
8,non-donor,9,4
8,non-donor,10,4
