pid,device,width,time,correct
101,touchscreen,100,749,TRUE
101,touchscreen,100,895,TRUE
101,touchscreen,100,663,TRUE
101,touchscreen,100,532,TRUE
101,touchscreen,100,2854,FALSE
101,touchscreen,100,899,TRUE
101,touchscreen,100,711,TRUE
101,touchscreen,100,716,TRUE
101,touchscreen,100,766,TRUE
101,touchscreen,100,1148,TRUE
101,touchscreen,100,1386,TRUE
101,touchscreen,100,765,TRUE
101,touchscreen,100,1250,TRUE
101,touchscreen,100,1067,TRUE
101,touchscreen,100,1049,TRUE
101,touchscreen,100,681,TRUE
101,touchscreen,100,1229,TRUE
101,touchscreen,100,832,TRUE
101,touchscreen,100,931,TRUE
101,touchscreen,100,749,TRUE
101,touchscreen,250,1249,TRUE
101,touchscreen,250,1350,TRUE
101,touchscreen,250,1482,TRUE
101,touchscreen,250,632,TRUE
101,touchscreen,250,1516,TRUE
101,touchscreen,250,765,TRUE
101,touchscreen,250,667,TRUE
101,touchscreen,250,598,TRUE
101,touchscreen,250,880,TRUE
101,touchscreen,250,817,TRUE
101,touchscreen,250,933,TRUE
101,touchscreen,250,666,TRUE
101,touchscreen,250,1082,TRUE
101,touchscreen,250,799,TRUE
101,touchscreen,250,934,TRUE
101,touchscreen,250,733,TRUE
101,touchscreen,250,947,TRUE
101,touchscreen,250,777,TRUE
101,touchscreen,250,1116,FALSE
101,touchscreen,250,633,TRUE
102,touchscreen,250,849,TRUE
102,touchscreen,250,1017,TRUE
102,touchscreen,250,730,TRUE
102,touchscreen,250,799,TRUE
102,touchscreen,250,1816,TRUE
102,touchscreen,250,916,TRUE
102,touchscreen,250,876,TRUE
102,touchscreen,250,532,TRUE
102,touchscreen,250,885,TRUE
102,touchscreen,250,1049,TRUE
102,touchscreen,250,948,FALSE
102,touchscreen,250,633,TRUE
102,touchscreen,250,967,TRUE
102,touchscreen,250,1164,TRUE
102,touchscreen,250,815,TRUE
102,touchscreen,250,758,TRUE
102,touchscreen,250,1200,FALSE
102,touchscreen,250,1348,TRUE
102,touchscreen,250,867,TRUE
102,touchscreen,250,933,TRUE
102,touchscreen,100,1248,TRUE
102,touchscreen,100,1283,TRUE
102,touchscreen,100,999,TRUE
102,touchscreen,100,932,TRUE
102,touchscreen,100,1149,TRUE
102,touchscreen,100,900,TRUE
102,touchscreen,100,1583,TRUE
102,touchscreen,100,883,TRUE
102,touchscreen,100,880,TRUE
102,touchscreen,100,866,TRUE
102,touchscreen,100,1032,FALSE
102,touchscreen,100,582,TRUE
102,touchscreen,100,1169,TRUE
102,touchscreen,100,1000,TRUE
102,touchscreen,100,915,TRUE
102,touchscreen,100,683,TRUE
102,touchscreen,100,1299,TRUE
102,touchscreen,100,1098,TRUE
102,touchscreen,100,784,TRUE
102,touchscreen,100,732,TRUE
103,touchscreen,250,901,TRUE
103,touchscreen,250,700,TRUE
103,touchscreen,250,831,TRUE
103,touchscreen,250,700,TRUE
103,touchscreen,250,915,TRUE
103,touchscreen,250,901,TRUE
103,touchscreen,250,1030,TRUE
103,touchscreen,250,750,TRUE
103,touchscreen,250,800,TRUE
103,touchscreen,250,933,TRUE
103,touchscreen,250,1033,TRUE
103,touchscreen,250,914,TRUE
103,touchscreen,250,1133,TRUE
103,touchscreen,250,864,TRUE
103,touchscreen,250,849,TRUE
103,touchscreen,250,696,TRUE
103,touchscreen,250,1100,FALSE
103,touchscreen,250,867,TRUE
103,touchscreen,250,915,TRUE
103,touchscreen,250,665,TRUE
103,touchscreen,100,1347,TRUE
103,touchscreen,100,1166,TRUE
103,touchscreen,100,934,TRUE
103,touchscreen,100,748,TRUE
103,touchscreen,100,1548,TRUE
103,touchscreen,100,817,TRUE
103,touchscreen,100,931,TRUE
103,touchscreen,100,916,TRUE
103,touchscreen,100,1150,TRUE
103,touchscreen,100,966,TRUE
103,touchscreen,100,749,TRUE
103,touchscreen,100,582,TRUE
103,touchscreen,100,917,TRUE
103,touchscreen,100,750,TRUE
103,touchscreen,100,1014,TRUE
103,touchscreen,100,634,TRUE
103,touchscreen,100,916,TRUE
103,touchscreen,100,1214,TRUE
103,touchscreen,100,932,TRUE
103,touchscreen,100,1114,TRUE
201,trackpad,100,1220,TRUE
201,trackpad,100,1136,TRUE
201,trackpad,100,1523,TRUE
201,trackpad,100,831,TRUE
201,trackpad,100,1013,TRUE
201,trackpad,100,1195,TRUE
201,trackpad,100,1126,TRUE
201,trackpad,100,866,TRUE
201,trackpad,100,995,TRUE
201,trackpad,100,1481,TRUE
201,trackpad,100,1051,TRUE
201,trackpad,100,835,TRUE
201,trackpad,100,1328,TRUE
201,trackpad,100,859,TRUE
201,trackpad,100,947,TRUE
201,trackpad,100,1083,TRUE
201,trackpad,100,1521,TRUE
201,trackpad,100,979,TRUE
201,trackpad,100,1014,TRUE
201,trackpad,100,883,TRUE
201,trackpad,250,1031,TRUE
201,trackpad,250,1717,TRUE
201,trackpad,250,807,TRUE
201,trackpad,250,908,TRUE
201,trackpad,250,1550,TRUE
201,trackpad,250,1072,TRUE
201,trackpad,250,1075,TRUE
201,trackpad,250,858,TRUE
201,trackpad,250,1096,TRUE
201,trackpad,250,1029,TRUE
201,trackpad,250,931,TRUE
201,trackpad,250,856,TRUE
201,trackpad,250,1051,TRUE
201,trackpad,250,977,TRUE
201,trackpad,250,899,TRUE
201,trackpad,250,909,TRUE
201,trackpad,250,1018,TRUE
201,trackpad,250,1044,TRUE
201,trackpad,250,911,TRUE
201,trackpad,250,939,TRUE
202,trackpad,100,1123,TRUE
202,trackpad,100,999,TRUE
202,trackpad,100,1075,TRUE
202,trackpad,100,946,TRUE
202,trackpad,100,1640,TRUE
202,trackpad,100,1002,TRUE
202,trackpad,100,1128,TRUE
202,trackpad,100,1083,TRUE
202,trackpad,100,1014,TRUE
202,trackpad,100,1324,TRUE
202,trackpad,100,1655,TRUE
202,trackpad,100,923,TRUE
202,trackpad,100,1356,TRUE
202,trackpad,100,1135,TRUE
202,trackpad,100,956,TRUE
202,trackpad,100,746,TRUE
202,trackpad,100,1059,TRUE
202,trackpad,100,1050,TRUE
202,trackpad,100,1078,TRUE
202,trackpad,100,895,TRUE
202,trackpad,250,1026,TRUE
202,trackpad,250,1187,TRUE
202,trackpad,250,940,TRUE
202,trackpad,250,1107,TRUE
202,trackpad,250,1152,TRUE
202,trackpad,250,1099,TRUE
202,trackpad,250,1069,TRUE
202,trackpad,250,739,TRUE
202,trackpad,250,925,TRUE
202,trackpad,250,1030,TRUE
202,trackpad,250,1508,TRUE
202,trackpad,250,822,TRUE
202,trackpad,250,972,TRUE
202,trackpad,250,1115,TRUE
202,trackpad,250,862,TRUE
202,trackpad,250,769,TRUE
202,trackpad,250,1355,TRUE
202,trackpad,250,922,TRUE
202,trackpad,250,843,TRUE
202,trackpad,250,815,TRUE
203,trackpad,100,1236,TRUE
203,trackpad,100,980,TRUE
203,trackpad,100,1046,TRUE
203,trackpad,100,875,TRUE
203,trackpad,100,1196,TRUE
203,trackpad,100,992,TRUE
203,trackpad,100,892,TRUE
203,trackpad,100,788,TRUE
203,trackpad,100,964,TRUE
203,trackpad,100,1004,TRUE
203,trackpad,100,1890,TRUE
203,trackpad,100,843,TRUE
203,trackpad,100,1337,TRUE
203,trackpad,100,1180,TRUE
203,trackpad,100,960,TRUE
203,trackpad,100,939,TRUE
203,trackpad,100,1219,TRUE
203,trackpad,100,896,TRUE
203,trackpad,100,818,FALSE
203,trackpad,100,675,TRUE
203,trackpad,250,1015,TRUE
203,trackpad,250,1075,TRUE
203,trackpad,250,992,TRUE
203,trackpad,250,730,TRUE
203,trackpad,250,1088,TRUE
203,trackpad,250,988,TRUE
203,trackpad,250,1559,TRUE
203,trackpad,250,755,TRUE
203,trackpad,250,884,TRUE
203,trackpad,250,1268,TRUE
203,trackpad,250,912,TRUE
203,trackpad,250,694,TRUE
203,trackpad,250,1115,TRUE
203,trackpad,250,981,TRUE
203,trackpad,250,824,TRUE
203,trackpad,250,691,TRUE
203,trackpad,250,1020,TRUE
203,trackpad,250,863,TRUE
203,trackpad,250,923,TRUE
203,trackpad,250,900,TRUE
1,mouse,250,850,TRUE
1,mouse,250,816,TRUE
1,mouse,250,934,TRUE
1,mouse,250,600,TRUE
1,mouse,250,900,TRUE
1,mouse,250,800,TRUE
1,mouse,250,869,TRUE
1,mouse,250,601,TRUE
1,mouse,250,867,TRUE
1,mouse,250,917,TRUE
1,mouse,250,769,TRUE
1,mouse,250,535,TRUE
1,mouse,250,1118,TRUE
1,mouse,250,819,TRUE
1,mouse,250,901,TRUE
1,mouse,250,736,TRUE
1,mouse,250,952,TRUE
1,mouse,250,1254,TRUE
1,mouse,250,718,TRUE
1,mouse,250,600,TRUE
1,mouse,100,1201,TRUE
1,mouse,100,918,TRUE
1,mouse,100,883,TRUE
1,mouse,100,650,TRUE
1,mouse,100,1467,TRUE
1,mouse,100,2218,TRUE
1,mouse,100,1100,TRUE
1,mouse,100,684,TRUE
1,mouse,100,1616,TRUE
1,mouse,100,1184,TRUE
1,mouse,100,1232,TRUE
1,mouse,100,835,TRUE
1,mouse,100,984,TRUE
1,mouse,100,1484,TRUE
1,mouse,100,884,TRUE
1,mouse,100,516,TRUE
1,mouse,100,1250,TRUE
1,mouse,100,1233,TRUE
1,mouse,100,1117,TRUE
1,mouse,100,666,TRUE
2,mouse,100,1399,TRUE
2,mouse,100,1299,TRUE
2,mouse,100,1050,TRUE
2,mouse,100,834,TRUE
2,mouse,100,900,TRUE
2,mouse,100,1184,TRUE
2,mouse,100,883,TRUE
2,mouse,100,599,TRUE
2,mouse,100,1167,TRUE
2,mouse,100,984,TRUE
2,mouse,100,918,TRUE
2,mouse,100,934,TRUE
2,mouse,100,1533,TRUE
2,mouse,100,1134,TRUE
2,mouse,100,1133,TRUE
2,mouse,100,1066,TRUE
2,mouse,100,837,TRUE
2,mouse,100,1016,TRUE
2,mouse,100,1317,TRUE
2,mouse,100,599,TRUE
2,mouse,250,1317,TRUE
2,mouse,250,1084,TRUE
2,mouse,250,783,TRUE
2,mouse,250,416,TRUE
2,mouse,250,1249,TRUE
2,mouse,250,933,TRUE
2,mouse,250,851,TRUE
2,mouse,250,917,TRUE
2,mouse,250,1101,TRUE
2,mouse,250,867,TRUE
2,mouse,250,1283,TRUE
2,mouse,250,534,TRUE
2,mouse,250,1068,TRUE
2,mouse,250,767,TRUE
2,mouse,250,1017,TRUE
2,mouse,250,534,TRUE
2,mouse,250,999,TRUE
2,mouse,250,948,TRUE
2,mouse,250,2034,TRUE
2,mouse,250,584,TRUE
3,mouse,100,1383,TRUE
3,mouse,100,1316,TRUE
3,mouse,100,1967,TRUE
3,mouse,100,1433,TRUE
3,mouse,100,1433,TRUE
3,mouse,100,1167,TRUE
3,mouse,100,1150,TRUE
3,mouse,100,899,TRUE
3,mouse,100,918,TRUE
3,mouse,100,1650,TRUE
3,mouse,100,951,TRUE
3,mouse,100,883,TRUE
3,mouse,100,1651,TRUE
3,mouse,100,1033,TRUE
3,mouse,100,967,TRUE
3,mouse,100,817,TRUE
3,mouse,100,899,TRUE
3,mouse,100,1216,TRUE
3,mouse,100,1266,TRUE
3,mouse,100,683,TRUE
3,mouse,250,2684,TRUE
3,mouse,250,833,TRUE
3,mouse,250,783,TRUE
3,mouse,250,883,TRUE
3,mouse,250,1217,TRUE
3,mouse,250,967,TRUE
3,mouse,250,800,TRUE
3,mouse,250,483,TRUE
3,mouse,250,467,TRUE
3,mouse,250,1100,TRUE
3,mouse,250,1000,TRUE
3,mouse,250,633,TRUE
3,mouse,250,983,TRUE
3,mouse,250,2550,TRUE
3,mouse,250,650,TRUE
3,mouse,250,434,TRUE
3,mouse,250,367,TRUE
3,mouse,250,717,TRUE
3,mouse,250,749,TRUE
3,mouse,250,467,TRUE
